id,slug,name,url,tags,supportedNetworks
anyone-protocol,anyone-protocol,Anyone Protocol,https://www.anyone.io/,,ethereum
anzem,anzem,Anzen,https://anzen.finance/,,"base, ethereum"
apecoin,apecoin,Apecoin,https://apecoin.com/,staking,ethereum
ape-coin-staking,ape-coin-staking,ApeCoinStaking,https://apecoinstaking.io/,,ethereum
ape-express,ape-express,Ape Express,https://ape.express/,,apechain
ape-portal,ape-portal,Ape Portal, https://apechain.com/portal,,apechain
apeswap,apeswap,ApeSwap,https://apeswap.finance/,liquidity-pool,"polygon, binance-smart-chain"
ape-tax,ape-tax,Ape Tax,https://ape.tax/,yield-aggregator,
ApeX-Protocol,ApeX-Protocol,ApeX Protocol,https://www.apex.exchange/,,"ethereum, arbitrum"
api3,api3,Api3,https://api3.eth.link/#/,infrastructure,"ethereum, arbitrum"
ApolloX,ApolloX,ApolloX,https://www.apollox.finance/en,,"arbitrum, opbnb"
Aptos-brisge,Aptos-brisge,Aptos Bridge,https://theaptosbridge.com/,,
apy,apy,APY,https://apy.finance/,yield-aggregator,ethereum
aragon,aragon,Aragon,https://aragon.org/aragon-app,,
arbid,arbid,ARB ID,https://arb.space.id/,,arbitrum
arbitrum-bridge,arbitrum-bridge,Arbitrum Bridge,https://bridge.arbitrum.io/,bridge,"arbitrum, ethereum"
arbitrum,arbitrum,Arbitrum Governance,https://arbitrum.foundation/,infrastructure,"arbitrum, ethereum"
arbor-finance,arbor-finance,Arbor Finance,https://app.arbor.finance/offerings,bonds,ethereum
Arbswap,Arbswap,Arbswap,https://arbswap.io/?chainId=42161,,arbitrum
arcade,arcade,Arcade,https://app.arcade.xyz/home,nft-lending,ethereum
arcadia-finance,arcadia-finance,Arcadia Finance,https://arcadia.finance/,,base
archer-swap,archer-swap,Archer Swap,https://archerswap.finance/,,core
arcx,arcx,ARCx,https://arcx.money/,yield-aggregator,
argent,argent,Argent,https://www.argent.xyz/,,ethereum
arkham,arkham,Arkham,https://www.arkhamintelligence.com/,,ethereum
armor,armor,Armor,https://armor.fi/,insurance,ethereum
arrakis,arrakis,Arrakis Finance,https://arrakis.finance/,liquidity-pool,"ethereum, arbitrum, polygon, optimism, gnosis"
artchains,artchains,Artchains,artchains.app,,base
artemis-finance,artemis-finance,Artemis Finance,https://artemisfinance.io/home,,metis
art-gobblers,art-gobblers,Art Gobblers,https://artgobblers.com/,nft-marketplace,ethereum
arth,arth,ARTH,https://arth.mahadao.com/,collateralized-debt-position,ethereum
art-run,art-run,ArtRun,https://artrun.io/,,
arweave,arweave,Arweave,https://ao.arweave.dev/,infrastructure,ethereum
astaria,astaria,Astaria,https://twitter.com/AstariaXYZ,,base
Astrid,Astrid,Astrid,https://astrid.finance/,,ethereum
asymetrix,asymetrix,Asymetrix Protocol,https://asymetrix.io/,liquid-staking,ethereum
asymmetry-finance,asymmetry-finance,Asymmetry Finance,https://www.asymmetry.finance/,,ethereum
athena-finance,athena-finance,Athena Finance,https://www.athenafinance.io/,,metis
atlasnavi,atlasnavi,AtlasNavi,https://www.atlasnavi.com/,,ethereum
atlendis-v1,atlendis-v1,Atlendis,https://app.atlendis.io/,"bonds, lending",polygon
augur,augur,Augur,https://augur.net/,liquidity-pool,
aura,aura,Aura Finance,https://app.aura.finance,liquidity-pool,"frax, base, optimism, polygon, arbitrum, gnosis, ethereum"
aurelius,aurelius,Aurelius,https://www.aurelius.finance/,,mantle
aurigami,aurigami,Aurigami,https://www.aurigami.finance/,lending,
aurora-plus,aurora-plus,Aurora+,https://aurora.plus/,staking,
autoearn-finance,autoearn-finance,Autoearn Finance,https://www.autoearn.finance/,,base
autofarm,autofarm,AutoFarm,https://autofarm.network/,yield-aggregator,binance-smart-chain
autolayer,autolayer,Auto Layer,https://autolayer.io/,liquid-staking,arbitrum
Autotronic,Autotronic,Autotronic,https://autotronic.finance/,,base
auxo,auxo,Auxo,https://auxo.fi/,yield-aggregator,ethereum
avalon,avalon,Avalon Finance,https://app.avalonfinance.xyz/,,"arbitrum, scroll, binance-smart-chain"
avantis,avantis,Avantis,https://www.avantisfi.com/,,base
avastars,avastars,Avastars,https://avastars.io/,infrastructure,ethereum
avolend,avolend,Avolend,https://www.avolend.finance/,,blast
axe-cap,axe-cap,Axe Cap,https://www.axecap.finance/,synthetics,ethereum
axelar,axelar,Axelar,https://axelar.network/,bridge,"arbitrum, ethereum, optimism, binance-smart-chain, base"
axiom,axiom,Axiom,https://www.axiom.xyz/,infrastructure,ethereum
Ax-Protocol,Ax-Protocol,Ax Protocol,https://www.ax.finance/,,optimism
aztec,aztec,Aztec Bridge,https://aztec.network/,bridge,ethereum
azuro,azuro,Azuro,https://azuro.org/,,"arbitrum, polygon, ethereum"
backed-finance,backed-finance,Backed Finance,https://backed.fi/,,ethereum
badger,badger,Badger,https://badger.com/,yield-aggregator,"arbitrum, ethereum, polygon"
bakery-swap,bakery-swap,BakerySwap,https://www.bakeryswap.org/#/,,binance-smart-chain
balancer-v1,balancer-v1,Balancer V1,https://balancer.fi/,liquidity-pool,ethereum
balancer-v2,balancer-v2,Balancer V2,https://balancer.fi/,liquidity-pool,"avalanche, optimism, polygon, arbitrum, base, gnosis, ethereum, frax, mode"
Baldex,Baldex,Baldex,https://www.baldex.hair/,,base
mean-finance,mean-finance,Balmy,https://balmy.xyz,"asset-management, cross-chain, prediction-market","binance-smart-chain, polygon, optimism, ethereum, arbitrum"
banana-gun,banana-gun,Banana Gun,https://bananagun.io/,,"base, ethereum"
banano,banano,Banano,https://wrap.banano.cc,farming,"arbitrum, ethereum, polygon, binance-smart-chain, fantom"
bancor,bancor,Bancor,https://app.bancor.network/,liquidity-pool,ethereum
bancor-v3,bancor-v3,Bancor V3,https://app.bancor.network/,"decentralized-exchange, liquidity-pool",ethereum
trader-joe-banker,trader-joe-banker,Banker Joe,https://traderjoexyz.com/,lending,avalanche
bao,bao,Bao,https://www.bao.finance/,liquidity-pool,ethereum
barnbridge,barnbridge,BarnBridge,https://app.barnbridge.com/,tokenized-risk,ethereum
barnbridge-smart-alpha,barnbridge-smart-alpha,Barnbridge Smart Alpha,https://barnbridge.com/,tokenized-risk,ethereum
barnbridge-smart-yield,barnbridge-smart-yield,BarnBridge Smart Yield,https://app.barnbridge.com/smart-alpha/pools,tokenized-risk,"ethereum, polygon"
barnbridge-v2,barnbridge-v2,BarnBrige V2,https://app.barnbridge.com/,tokenized-risk,ethereum
base-bomb,base-bomb,BaseBomb,https://basebomb.io,"farming, liquidity-pool",base
base-bridge,base-bridge,Base Bridge,https://bridge.base.org/,bridge,ethereum
basecolors,basecolors,Base Colors,https://www.basecolors.com/,,base
basedbits,basedbits,Based Bits,https://www.basedbits.fun/,gaming,base
based-farm,based-farm,BasedFarm,https://based.farm/,yield-aggregator,base
 basedmarkets, basedmarkets, basedmarkets,https://www.based.markets/,,base
based-money-finance,based-money-finance,Based Money Finance,basedmoney.finance,algorithmic-stablecoin,base
Based-Rate,Based-Rate,Based Rate,https://basedrate.io/,,base
base-max-finance,base-max-finance,BaseMax Finance,https://www.basemax.finance/#/,perpetuals-exchange,base
basenames,basenames,Basenames,https://www.base.org/names,,base
base-name-service,base-name-service,Base Name Service,https://basename.domains/,,base
base-name-service-app,base-name-service-app,Base Name Service (BNS),https://www.basename.app/,,base
base-paint,base-paint,Base Paint,https://basepaint.xyz/,,base
base-punk,base-punk,BASE PUNK,https://basepunk.xyz/,,base
baseswap,baseswap,BaseSwap,https://baseswap.fi/,decentralized-exchange,base
base-words,base-words,Basewords,https://www.basewords.xyz/,,base
baseyield,baseyield,BaseYield,https://app.baseyield.finance/,,base
basin-dao,basin-dao,Basin DAO,https://www.basinfinance.com/,collateralized-debt-position,base
basket-dao,basket-dao,Basket DAO,https://basketdao.org/,asset-management,ethereum
Baso-Finance,Baso-Finance,Baso Finance,https://www.baso.finance/,,base
Bass-Exchange,Bass-Exchange,Bass Exchange,https://www.bass.exchange/,,base
bastion-protocol,bastion-protocol,Bastion,https://bastionprotocol.com/,"lending, liquidity-pool",
battlefly,battlefly,BattleFly,https://play.battlefly.game/,gaming,arbitrum
battleground,battleground,Battleground,https://www.battleth.com/,gaming,ethereum
bazed-games,bazed-games,Bazed Games,https://bazed.bet/,gaming,ethereum
beagle-swap,beagle-swap,BeagleSwap,https://beagleswap.xyz/,decentralized-exchange,base
Beam,Beam,Beam,https://www.onbeam.com/,,ethereum
beanstalk,beanstalk,Beanstalk,https://bean.money/,"stablecoin, farming",ethereum
bebop,bebop,Bebop,https://bebop.xyz/,decentralized-exchange,"ethereum, arbitrum"
bedrock,bedrock,Bedrock,https://www.bedrock.technology/,,"mantle, arbitrum, mode, scroll, ethereum, binance-smart-chain"
beefy,beefy,Beefy Finance,https://app.beefy.finance/,yield-aggregator,"gnosis, fantom, zksync, linea, avalanche, arbitrum, polygon, ethereum, base, binance-smart-chain, optimism"
beerme,beerme,BeerMe,https://beerme.world/,,base
beethoven-x,beethoven-x,Beethoven-X,https://app.beets.fi/,yield-aggregator,"optimism, fantom"
belt,belt,Belt,https://belt.fi/,liquidity-pool,binance-smart-chain
benchmark,benchmark,Benchmark,https://benchmarkprotocol.finance/,liquidity-pool,ethereum
bend-dao,bend-dao,BendDAO,https://www.benddao.xyz/,nft-lending,ethereum
benji-bananas,benji-bananas,Benji Bananas,https://benjibananas.com/,,ethereum
benqi,benqi,Benqi,https://benqi.fi/,lending,avalanche
bent,bent,Bent Finance,https://bentfinance.com/,liquidity-pool,ethereum
beraplug,beraplug,Beraplug,https://www.plug.sucks/,,ethereum
bet-swirl,bet-swirl,BetSwirl,https://www.betswirl.com/,,ethereum
betsy-the-bot,betsy-the-bot,Betsy The Bot,http://betsythebot.com/,gaming,ethereum
bibliotheca,bibliotheca,Bibliotheca,https://bibliothecadao.xyz/,gaming,ethereum
biconomy,biconomy,Biconomy,https://www.biconomy.io/,infrastructure,"ethereum, optimism"
big-data,big-data,Big Data Protocol,https://bigdataprotocol.com/,liquidity-pool,ethereum
big-time,big-time,Big Time,https://bigtime.gg/,,ethereum
Binary-markets,Binary-markets,Binary markets,https://binarymarkets.net/#,,arbitrum
biswap,biswap,Biswap,https://app.beets.fi/,decentralized-exchange,binance-smart-chain
bit-dao,bit-dao,Bit DAO,https://www.bitdao.io/,infrastructure,ethereum
Bitget-Wallet,Bitget-Wallet,Bitget Wallet,https://web3.bitget.com/,,"zksync, ethereum, arbitrum, base"
bitgo,bitgo,BitGo,https://bitgo.com/,,ethereum
bitpay,bitpay,BitPay,https://bitpay.com/,,ethereum
bitrock,bitrock,Bitrock,https://bit-rock.io/,,ethereum
bitstamp,bitstamp,Bitstamp,https://www.bitstamp.net/,,ethereum
bittorrent,bittorrent,BitTorrent,https://bttc.bittorrent.com/,bridge,ethereum
black-station-puma,black-station-puma,Black Station,https://blackstation.puma.com/,nft-marketplace,ethereum
black-wing,black-wing,Blackwing,https://blackwing.fi/,,"binance-smart-chain, ethereum, arbitrum"
bladeswap,bladeswap,BladeSwap,https://bladeswap.xyz/,decentralized-exchange,blast
blast,blast,Blast Bridge,https://blast.io/,bridge,"blast, ethereum"
blast-dex,blast-dex,BlastDEX,https://blastdex.xyz/,decentralized-exchange,blast
blasterswap,blasterswap,Blasterswap,https://blasterswap.com/,decentralized-exchange,blast
blastgoo,blastgoo,BlastGoo,https://twitter.com/WorldWarGoo,gaming,blast
blastnyan,blastnyan,BlastNYAN,https://blastnyan.com/,,blast
blastr,blastr,Blastr,https://blastr.xyz/,nft-marketplace,blast
blast_runners,blast_runners,Blast Runners,https://twitter.com/BlastRunnersPVP,gaming,blast
Block-Tools,Block-Tools,Block Tools,https://www.blocktools.org/magic,,ethereum
bloom,bloom,Bloom,https://x.com/BloomOnBlast,,blast
blueberry-protocol,blueberry-protocol,Blueberry Protocol,https://app.blueberry.garden/,,ethereum
bluebit,bluebit,BlueBit Finance,https://bluebit.fi,yield-aggregator,
blur,blur,Blur,https://blur.io/,nft-marketplace,"blast, ethereum"
blur-lend,blur-lend,Blur Lend,https://blur.io/,nft-lending,ethereum
bnb-chain-staking,bnb-chain-staking,BNB Chain Staking,https://www.bnbchain.org/en/bnb-staking,,binance-smart-chain
bob_fusion,bob_fusion,BOB Fusion Bridge,https://www.gobob.xyz/,,ethereum
bonfire,bonfire,Bonfire,https://linktr.ee/bonfireth,,ethereum
bonkler,bonkler,Bonkler,https://bonkler.remilia.org,nft-marketplace,ethereum
boost,boost,Boost,https://boost.xyz/,,"base, ethereum, optimism, arbitrum, zora"
boring-security,boring-security,Boring Security,https://boringsecurity.com/,,ethereum
botto,botto,Botto,https://botto.com/,asset-management,ethereum
bounce-bit,bounce-bit,BounceBit,https://bouncebit.io/,,"binance-smart-chain, ethereum"
b-protocol,b-protocol,B.Protocol,https://www.bprotocol.org/,lending,ethereum
bracket-game,bracket-game,Bracket Game,https://bracket.game,,base
brahma,brahma,Brahma,https://x.com/brahmaFi,infrastructure,arbitrum
brawler-bearz,brawler-bearz,Brawler Bearz,https://www.brawlerbearz.club/,gaming,ethereum
brew-swap,brew-swap,BrewSwap,https://earn.brewlabs.info/,decentralized-exchange,polygon
bridgeworld,bridgeworld,Bridgeworld,https://bridgeworld.treasure.lol/,gaming,arbitrum
Bright-Moments,Bright-Moments,Bright Moments,https://www.brightmoments.io/,,ethereum
brrito,brrito,Brrito,https://www.brrito.xyz/,,base
bscswap,bscswap,BSCSwap,https://bscswap.finance/,,binance-smart-chain
bsx,bsx,BSX,https://twitter.com/bsx_labs,decentralized-exchange,base
btc-twenty,btc-twenty,BTC20,https://btc20.com/,yield-aggregator,ethereum
btcetf,btcetf,BTCETF,https://btcetftoken.io/en,,ethereum
Buffer-Finance,Buffer-Finance,Buffer Finance,https://buffer.finance/,,arbitrum
buildtop,buildtop,Build,build.top,,base
builder-fi,builder-fi,builder.fi,https://www.builder.fi/,,base
bulba-swap,bulba-swap,BulbaSwap,https://bulbaswap.io/,,morph
bullet-game,bullet-game,Bullet Game,https://bulletgame.xyz/,gaming,ethereum
bullishs,bullishs,Bullishs,t.me/BullishsBot,,morph
Bulls-and-Apes-Project,Bulls-and-Apes-Project,Bulls and Apes Project,https://www.bullsandapesproject.com/,,ethereum
Bulls-on-the-block,Bulls-on-the-block,Bulls On The Block,https://bullsontheblock.com/,,optimism
Bungee,Bungee,Bungee,https://www.bungee.exchange/,,"base, optimism, arbitrum"
bunni,bunni,Bunni,https://bunni.pro/,yield-aggregator,"ethereum, arbitrum"
buzz-farming,buzz-farming,Buzz Farming,https://buzz.bsquared.network/farming,,b2
cafeswap,cafeswap,CafeSwap,https://x.com/CafeSwapFinance,,binance-smart-chain
cambria,cambria,Cambria,https://arena.cambria.gg/,,"blast, base"
camelot,camelot,Camelot,https://camelot.exchange/,,"arbitrum, apechain"
camelot-v3,camelot-v3,Camelot V3,https://app.camelot.exchange/,decentralized-exchange,"apechain, arbitrum"
campie,campie,Campie,https://www.camelot.magpiexyz.io/stake,,arbitrum
canary,canary,Canary,https://canary.exchange/,,avalanche
cap,cap,CAP,https://www.cap.io/,,arbitrum
capy-finance,capy-finance,Capy Finance,https://www.capyfinance.com/,,b2
carbon-defi,carbon-defi,Carbon,https://app.carbondefi.xyz/,,ethereum
Carol-Protocol,Carol-Protocol,Carol Protocol,https://carol.finance/bonding,,base
cat-in-a-box-finance,cat-in-a-box-finance,Cat-in-a-Box Finance,https://catinabox.finance/,lending,ethereum
cat-town,cat-town,Cat Town,https://cat.town/,,base
caviar,caviar,Caviar,https://www.caviar.sh/,nft-marketplace,ethereum
cega,cega,cega,https://app.cega.fi/,,arbitrum
celer,celer,Celer,https://celer.network/,bridge,"optimism, arbitrum, ethereum"
centaurify,centaurify,Centaurify,https://www.centaurify.io/,nft-marketplace,ethereum
chai-money,chai-money,Chai Money,https://chai.money/,yield-aggregator,ethereum
chain-chat,chain-chat,Chainchat,https://twitter.com/chain_chat_app,,base
chain-games,chain-games,Chain Games,https://chaingames.io/,,ethereum
chainlink,chainlink,Chainlink,https://chain.link/,infrastructure,"base, optimism, arbitrum, ethereum"
chainrunners,chainrunners,Chainrunners,https://www.chainrunners.xyz/,gaming,ethereum
ChainX,ChainX,ChainX,https://chainx.org/,,"optimism, arbitrum"
checks-vv-originals,checks-vv-originals,Checks - VV Originals,https://checks.art/,nft-marketplace,ethereum
chicken-bond,chicken-bond,Chicken Bond,https://www.chickenbonds.org/,bonds,ethereum
chimpers,chimpers,Chimpers,https://dojo.chimpers.xyz/outside,,ethereum
chimpzee,chimpzee,Chimpzee,https://chimpzee.io/,,ethereum
chromia,chromia,Chromia,https://chromia.com/,"cross-chain, bridge",ethereum
chronos,chronos,Chronos,https://app.chronos.exchange/,decentralized-exchange,arbitrum
cig-token-eth,cig-token-eth,CigToken,https://cigtoken.eth.limo/,nft-marketplace,ethereum
cipher-fan,cipher-fan,cipher.fan,https://cipher.fan/,,arbitrum
circle,circle,Circle,circle.com,stablecoin,"ethereum, base, arbitrum, optimism"
citadel,citadel,Citadel,https://www.citadelswap.xyz/,,base
clankers,clankers,Clankers,https://www.clanker.world/clanker,,base
ClashMon-Ignition,ClashMon-Ignition,ClashMon:Ignition,https://clashmon.iskra.world/en/,,base
clearpool,clearpool,Clearpool,https://clearpool.finance,lending,"optimism, polygon, ethereum"
clever,clever,CLever,https://clever.aladdin.club/#/clever,farming,ethereum
clipper,clipper,Clipper,https://clipper.exchange/,decentralized-exchange,"polygon, arbitrum, optimism, ethereum"
clique,clique,Clique,https://www.clique.social/,,optimism
clone-force,clone-force,Clone Force,https://cloneforce.xyz/,gaming,ethereum
clusters,clusters,Clusters,https://clusters.xyz/,,ethereum
cog-finance,cog-finance,Cog Finance,https://www.cog.finance/,,scroll
coin98,coin98,Coin98,https://coin98.com/,,ethereum
coinbase,coinbase,Coinbase,https://www.coinbase.com/,,"base, ethereum"
coinbase-commerce,coinbase-commerce,Coinbase Commerce,https://www.coinbase.com/commerce,,"ethereum, polygon, base"
coinbasewallet,coinbasewallet,Coinbase Wallet,https://www.coinbase.com/wallet,,"ethereum, base, optimism"
coin-tool,coin-tool,Coin Tool,https://cointool.app/dashboard,infrastructure,"ethereum, base"
colend-protocol,colend-protocol,Colend Protocol,https://app.colend.xyz/,,core
comethswap,comethswap,Comethswap,https://swap.cometh.io/#/,farming,polygon
compound,compound,Compound,https://compound.finance/,lending,"ethereum, optimism"
compound-v3,compound-v3,Compound III,https://v3-app.compound.finance/,lending,"ethereum, base, polygon, optimism, arbitrum, scroll"
concentrator,concentrator,Concentrator,https://concentrator.aladdin.club/,farming,ethereum
conic-finance,conic-finance,Conic Finance,https://conic.finance/,"liquidity-pool, farming",ethereum
connext-bridge,connext-bridge,Connext Bridge,https://bridge.connext.network/,bridge,"base, ethereum, arbitrum, optimism"
contango,contango,Contango,http://app.contango.xyz,,
convergence,convergence,Convergence,https://cvg.finance/,,ethereum
convex,convex,Convex,https://www.convexfinance.com/,yield-aggregator,"polygon, ethereum, arbitrum"
convex-frax,convex-frax,Convex Frax,https://frax.convexfinance.com/,yield-aggregator,ethereum
convex-fx,convex-fx,Convex F(x),https://fx.convexfinance.com/,,ethereum
convex-prisma,convex-prisma,Convex Prisma,https://prisma.convexfinance.com/,collateralized-debt-position,ethereum
coordinape,coordinape,Coordinape,https://coordinape.com/,,"optimism, ethereum"
Core-DAO,Core-DAO,Core DAO,https://coredao.org/,,"arbitrum, optimism"
coresky,coresky,Coresky,https://www.coresky.com/,"nft-marketplace, launchpad",ethereum
corn,corn,corn,https://usecorn.com/,liquidity-pool,ethereum
corruptions,corruptions,Corruptions,https://corruptions.io,gaming,ethereum
coti,coti,Coti,https://coti.io/,"infrastructure, payments",ethereum
cow-swap,cow-swap,CoW Swap,https://swap.cow.fi/,decentralized-exchange,"gnosis, ethereum"
cozy-finance,cozy-finance,Cozy Finance,https://www.cozy.finance/,insurance,"ethereum, arbitrum"
crack-stack,crack-stack,Crack & Stack,https://crackandstack.com/,,taiko
cream,cream,Cream,https://cream.finance/,lending,"binance-smart-chain, ethereum, arbitrum, polygon"
credmark,credmark,Credmark,https://credmark.com/,yield-aggregator,ethereum
crescent-swap,crescent-swap,Crescent Swap,https://x.com/crescentswap,,arbitrum
cropxyz,cropxyz,CropXYZ,https://play.cropxyz.com/,,base
cryptex,cryptex,Cryptex,https://cryptex.finance/,liquidity-pool,ethereum
cryptocomposite,cryptocomposite,CryptoComposite,https://www.cryptocomposite.xyz/,,base
crypto-phunks-auction-house,crypto-phunks-auction-house,CryptoPhunks Auction House,https://phunks.auction/,nft-marketplace,ethereum
crypto-punks,crypto-punks,CryptoPunks Marketplace,https://cryptopunks.app/,nft-marketplace,ethereum
cryptovalleys,cryptovalleys,Crypto Valleys,https://cryptovalleys.io/,gaming,blast
curve,curve,Curve,https://curve.fi,liquidity-pool,"optimism, arbitrum, zksync, polygon, fantom, avalanche, ethereum, gnosis, frax, base, mantle"
curve-stablecoin,curve-stablecoin,Curve Stablecoin,https://curve.fi/#/ethereum/swap,lending,"arbitrum, ethereum"
cyber,cyber,Cyber,https://cyber.co/,,ethereum
cyberblast-v2,cyberblast-v2,Cyberblast V2,https://cyberblast.io/,decentralized-exchange,blast
CyberConnect,CyberConnect,CyberConnect,https://cyberconnect.me/,,"ethereum, optimism, binance-smart-chain, arbitrum"
cyberkongz-genkai,cyberkongz-genkai,CyberKongz Genkai,https://genkai.cyberkongz.com/,,ethereum
